"";"Otros";"Comercio";"Industria";"Construccion";"Financiero";"Admon Publica";"Agricultura";"Medicina";"Cuarentena";"GastoPublico";"InversionSalud";"Pruebas";"ContactTracing";"PI";"Enforcement";"Tapabocas";"%PoblacionLibre"
"Sector1";0;0;0;0;0;0;1;1;0,1;20;4;5000;0;0,6;0,7;0,7396;0,3452529
"Sector2";0;0;0;0;0;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,7396;0,4073898
"Sector3";0;0;0;0;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,7396;0,4152018
"Sector4";0;0;0;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,7396;0,43734
"Sector5";0;0;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,7396;0,4719837
"Sector6";0;1;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,7396;0,575058
"Sector7";1;1;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,7396;0,93
"Sector11";0;0;0;0;0;0;1;1;0,5;20;4;5000;0;0,6;0,7;0,7396;0,3251405
"Sector21";0;0;0;0;0;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,7396;0,359661
"Sector31";0;0;0;0;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,7396;0,364001
"Sector41";0;0;0;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,7396;0,3763
"Sector51";0;0;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,7396;0,3955465
"Sector61";0;1;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,7396;0,45281
"Sector71";1;1;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,7396;0,65
"Sector12";0;0;0;0;0;0;1;1;0,85;20;4;5000;0;0,6;0,7;0,7396;0,30754215
"Sector22";0;0;0;0;0;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,7396;0,3178983
"Sector32";0;0;0;0;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,7396;0,3192003
"Sector42";0;0;0;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,7396;0,32289
"Sector52";0;0;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,7396;0,32866395
"Sector62";0;1;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,7396;0,345843
"Sector72";1;1;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,7396;0,405
"Sector13";0;0;0;0;0;0;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,3452529
"Sector23";0;0;0;0;0;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,4073898
"Sector33";0;0;0;0;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,4152018
"Sector43";0;0;0;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,43734
"Sector53";0;0;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,4719837
"Sector63";0;1;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,575058
"Sector73";1;1;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,93
"Sector111";0;0;0;0;0;0;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,3251405
"Sector211";0;0;0;0;0;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,359661
"Sector311";0;0;0;0;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,364001
"Sector411";0;0;0;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,3763
"Sector511";0;0;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,3955465
"Sector611";0;1;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,45281
"Sector711";1;1;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,65
"Sector121";0;0;0;0;0;0;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,30754215
"Sector221";0;0;0;0;0;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,3178983
"Sector321";0;0;0;0;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,3192003
"Sector421";0;0;0;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,32289
"Sector521";0;0;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,32866395
"Sector621";0;1;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,345843
"Sector721";1;1;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,7396;0,405
